,BBC_compound,BBC_dtime,BBC_neg,BBC_neu,BBC_pos,CBS_compound,CBS_dtime,CBS_neg,CBS_neu,CBS_pos,CNN_compound,CNN_dtime,CNN_neg,CNN_neu,CNN_pos,Fox_compound,Fox_dtime,Fox_neg,Fox_neu,Fox_pos,NYTimes_compound,NYTimes_dtime,NYTimes_neg,NYTimes_neu,NYTimes_pos,tago
184,0.0,Thu Mar 29 15:24:08 +0000 2018,0.0,1.0,0.0,0.0,Mon Jan 29 05:34:44 +0000 2018,0.0,1.0,0.0,0.0485,Thu Apr 05 23:59:55 +0000 2018,0.063,0.845,0.091,-0.296,Fri Apr 06 02:28:28 +0000 2018,0.216,0.784,0.0,-0.4404,Thu Apr 05 11:15:04 +0000 2018,0.112,0.888,0.0,-184
183,0.0,Thu Mar 29 15:26:27 +0000 2018,0.0,1.0,0.0,0.5719,Mon Jan 29 06:15:02 +0000 2018,0.0,0.734,0.266,0.4939,Fri Apr 06 00:11:48 +0000 2018,0.0,0.92,0.08,0.8125,Fri Apr 06 02:40:37 +0000 2018,0.0,0.763,0.237,-0.5994,Thu Apr 05 11:30:11 +0000 2018,0.178,0.822,0.0,-183
182,0.0,Thu Mar 29 15:31:22 +0000 2018,0.0,1.0,0.0,0.7506,Mon Jan 29 07:01:01 +0000 2018,0.0,0.714,0.286,0.0,Fri Apr 06 00:15:01 +0000 2018,0.0,1.0,0.0,-0.5754,Fri Apr 06 02:47:19 +0000 2018,0.125,0.835,0.041,0.0258,Thu Apr 05 11:44:02 +0000 2018,0.0,0.962,0.038,-182
181,0.0,Thu Mar 29 15:41:25 +0000 2018,0.0,1.0,0.0,0.3612,Mon Jan 29 07:25:04 +0000 2018,0.0,0.902,0.098,0.0772,Fri Apr 06 00:17:00 +0000 2018,0.0,0.965,0.035,-0.7425,Fri Apr 06 02:48:27 +0000 2018,0.142,0.858,0.0,0.0,Thu Apr 05 11:50:12 +0000 2018,0.0,1.0,0.0,-181
180,-0.3164,Thu Mar 29 16:03:03 +0000 2018,0.534,0.466,0.0,0.5719,Mon Jan 29 07:40:26 +0000 2018,0.0,0.73,0.27,0.2023,Fri Apr 06 00:29:22 +0000 2018,0.141,0.645,0.214,-0.4019,Fri Apr 06 02:51:47 +0000 2018,0.184,0.726,0.089,0.5915,Thu Apr 05 12:00:09 +0000 2018,0.0,0.869,0.131,-180
179,0.784,Thu Mar 29 16:12:19 +0000 2018,0.0,0.712,0.288,0.4574,Mon Jan 29 08:18:18 +0000 2018,0.0,0.921,0.079,0.0,Fri Apr 06 00:29:24 +0000 2018,0.0,1.0,0.0,-0.5859,Fri Apr 06 02:59:34 +0000 2018,0.223,0.685,0.092,0.3818,Thu Apr 05 12:15:06 +0000 2018,0.0,0.936,0.064,-179
178,0.0,Thu Mar 29 17:04:05 +0000 2018,0.0,1.0,0.0,0.2003,Mon Jan 29 12:00:03 +0000 2018,0.073,0.828,0.099,0.0516,Fri Apr 06 00:30:45 +0000 2018,0.0,0.95,0.05,-0.91,Fri Apr 06 03:00:39 +0000 2018,0.318,0.624,0.058,-0.6597,Thu Apr 05 12:30:04 +0000 2018,0.268,0.732,0.0,-178
177,0.4522,Thu Mar 29 18:05:02 +0000 2018,0.109,0.697,0.194,0.6597,Mon Jan 29 13:00:01 +0000 2018,0.0,0.722,0.278,-0.34,Fri Apr 06 00:35:25 +0000 2018,0.112,0.888,0.0,0.0,Fri Apr 06 03:25:51 +0000 2018,0.0,1.0,0.0,-0.2732,Thu Apr 05 12:44:04 +0000 2018,0.091,0.909,0.0,-177
176,0.0,Thu Mar 29 18:43:51 +0000 2018,0.0,1.0,0.0,0.3182,Mon Jan 29 14:00:02 +0000 2018,0.119,0.751,0.13,-0.5574,Fri Apr 06 00:41:02 +0000 2018,0.247,0.753,0.0,-0.4939,Fri Apr 06 03:51:33 +0000 2018,0.244,0.756,0.0,0.0,Thu Apr 05 13:00:24 +0000 2018,0.0,1.0,0.0,-176
175,0.0,Thu Mar 29 18:44:11 +0000 2018,0.0,1.0,0.0,0.1531,Mon Jan 29 15:00:03 +0000 2018,0.0,0.926,0.074,0.0,Fri Apr 06 00:51:08 +0000 2018,0.0,1.0,0.0,-0.6239,Fri Apr 06 04:00:01 +0000 2018,0.1,0.9,0.0,0.0,Thu Apr 05 13:10:04 +0000 2018,0.0,1.0,0.0,-175
174,0.0,Thu Mar 29 18:44:20 +0000 2018,0.0,1.0,0.0,0.5562,Mon Jan 29 16:00:05 +0000 2018,0.0,0.841,0.159,-0.3182,Fri Apr 06 01:01:01 +0000 2018,0.082,0.872,0.046,-0.8834,Fri Apr 06 04:15:00 +0000 2018,0.484,0.516,0.0,-0.0772,Thu Apr 05 13:20:07 +0000 2018,0.119,0.801,0.08,-174
173,0.0,Thu Mar 29 18:45:08 +0000 2018,0.0,1.0,0.0,0.0,Mon Jan 29 17:15:04 +0000 2018,0.0,1.0,0.0,0.4795,Fri Apr 06 01:03:17 +0000 2018,0.0,0.885,0.115,-0.3412,Fri Apr 06 04:30:00 +0000 2018,0.327,0.673,0.0,0.1027,Thu Apr 05 13:31:02 +0000 2018,0.0,0.94,0.06,-173
172,-0.296,Thu Mar 29 20:41:00 +0000 2018,0.095,0.905,0.0,0.9259,Mon Jan 29 18:00:02 +0000 2018,0.0,0.558,0.442,-0.296,Fri Apr 06 01:11:03 +0000 2018,0.145,0.855,0.0,0.8685,Fri Apr 06 04:45:00 +0000 2018,0.0,0.783,0.217,0.0,Thu Apr 05 13:44:01 +0000 2018,0.0,1.0,0.0,-172
171,0.0258,Fri Mar 30 07:30:02 +0000 2018,0.118,0.76,0.122,0.7783,Mon Jan 29 19:00:05 +0000 2018,0.0,0.755,0.245,-0.6915,Fri Apr 06 01:21:28 +0000 2018,0.24,0.691,0.069,0.2263,Fri Apr 06 05:00:01 +0000 2018,0.0,0.959,0.041,0.0,Thu Apr 05 14:00:16 +0000 2018,0.0,1.0,0.0,-171
170,0.0,Fri Mar 30 08:27:05 +0000 2018,0.0,1.0,0.0,0.0,Mon Jan 29 20:00:04 +0000 2018,0.0,1.0,0.0,0.1027,Fri Apr 06 01:24:33 +0000 2018,0.074,0.839,0.087,0.0,Fri Apr 06 05:15:00 +0000 2018,0.0,1.0,0.0,-0.3182,Thu Apr 05 14:16:02 +0000 2018,0.103,0.897,0.0,-170
169,0.4404,Fri Mar 30 09:06:02 +0000 2018,0.0,0.884,0.116,0.5093,Mon Jan 29 22:10:15 +0000 2018,0.072,0.782,0.146,-0.4588,Fri Apr 06 01:31:07 +0000 2018,0.15,0.85,0.0,0.0,Fri Apr 06 05:30:00 +0000 2018,0.0,1.0,0.0,-0.5106,Thu Apr 05 14:30:08 +0000 2018,0.173,0.745,0.082,-169
168,0.25,Fri Mar 30 10:03:04 +0000 2018,0.0,0.926,0.074,0.3818,Mon Jan 29 22:45:21 +0000 2018,0.0,0.923,0.077,0.3818,Fri Apr 06 01:42:31 +0000 2018,0.063,0.819,0.118,0.3182,Fri Apr 06 05:45:00 +0000 2018,0.118,0.683,0.199,0.0,Thu Apr 05 14:44:04 +0000 2018,0.0,1.0,0.0,-168
167,0.0,Fri Mar 30 10:33:02 +0000 2018,0.0,1.0,0.0,0.0,Tue Jan 30 00:11:05 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 01:45:04 +0000 2018,0.0,1.0,0.0,-0.4767,Fri Apr 06 06:00:00 +0000 2018,0.215,0.681,0.105,-0.34,Thu Apr 05 15:00:14 +0000 2018,0.124,0.876,0.0,-167
166,0.4574,Fri Mar 30 10:39:54 +0000 2018,0.09,0.697,0.213,-0.296,Tue Jan 30 01:29:06 +0000 2018,0.087,0.913,0.0,-0.3612,Fri Apr 06 01:46:07 +0000 2018,0.088,0.912,0.0,0.0,Fri Apr 06 06:15:00 +0000 2018,0.0,1.0,0.0,0.4215,Thu Apr 05 15:15:09 +0000 2018,0.0,0.877,0.123,-166
165,0.4574,Fri Mar 30 12:04:01 +0000 2018,0.0,0.917,0.083,0.0,Tue Jan 30 02:12:15 +0000 2018,0.0,1.0,0.0,-0.4404,Fri Apr 06 01:50:23 +0000 2018,0.244,0.756,0.0,0.0,Fri Apr 06 06:30:00 +0000 2018,0.0,1.0,0.0,0.4019,Thu Apr 05 15:30:10 +0000 2018,0.0,0.881,0.119,-165
164,0.5859,Fri Mar 30 13:05:00 +0000 2018,0.0,0.759,0.241,0.6908,Tue Jan 30 03:17:51 +0000 2018,0.0,0.814,0.186,0.0,Fri Apr 06 01:50:57 +0000 2018,0.0,1.0,0.0,-0.2732,Fri Apr 06 06:45:00 +0000 2018,0.237,0.763,0.0,-0.5719,Thu Apr 05 15:40:07 +0000 2018,0.134,0.866,0.0,-164
163,0.2023,Fri Mar 30 14:54:01 +0000 2018,0.0,0.945,0.055,0.5994,Tue Jan 30 04:03:31 +0000 2018,0.0,0.865,0.135,0.0,Fri Apr 06 01:51:37 +0000 2018,0.0,1.0,0.0,-0.7353,Fri Apr 06 07:00:01 +0000 2018,0.154,0.846,0.0,-0.872,Thu Apr 05 15:50:07 +0000 2018,0.31,0.69,0.0,-163
162,0.0,Fri Mar 30 15:10:56 +0000 2018,0.0,1.0,0.0,0.6705,Tue Jan 30 16:00:02 +0000 2018,0.0,0.87,0.13,0.6369,Fri Apr 06 02:01:06 +0000 2018,0.0,0.89,0.11,0.0,Fri Apr 06 07:15:00 +0000 2018,0.0,1.0,0.0,0.5994,Thu Apr 05 15:54:33 +0000 2018,0.103,0.57,0.327,-162
161,0.8715,Fri Mar 30 15:25:47 +0000 2018,0.0,0.623,0.377,0.9215,Tue Jan 30 18:46:04 +0000 2018,0.0,0.697,0.303,-0.8402,Fri Apr 06 02:07:44 +0000 2018,0.205,0.795,0.0,0.3947,Fri Apr 06 07:30:00 +0000 2018,0.0,0.913,0.087,-0.6249,Thu Apr 05 16:00:14 +0000 2018,0.111,0.889,0.0,-161
160,-0.2144,Fri Mar 30 16:02:04 +0000 2018,0.111,0.819,0.07,0.923,Tue Jan 30 21:19:22 +0000 2018,0.0,0.774,0.226,0.2023,Fri Apr 06 02:11:08 +0000 2018,0.0,0.954,0.046,-0.6239,Fri Apr 06 07:45:00 +0000 2018,0.253,0.747,0.0,0.4404,Thu Apr 05 16:04:00 +0000 2018,0.107,0.719,0.174,-160
159,0.5719,Fri Mar 30 16:26:45 +0000 2018,0.0,0.734,0.266,0.9661,Tue Jan 30 23:35:01 +0000 2018,0.0,0.655,0.345,0.0,Fri Apr 06 02:16:04 +0000 2018,0.0,1.0,0.0,0.8555,Fri Apr 06 08:00:02 +0000 2018,0.0,0.802,0.198,0.0258,Thu Apr 05 16:07:00 +0000 2018,0.0,0.962,0.038,-159
158,0.0,Fri Mar 30 17:06:00 +0000 2018,0.0,1.0,0.0,0.8908,Wed Jan 31 00:11:53 +0000 2018,0.0,0.718,0.282,0.4168,Fri Apr 06 02:24:06 +0000 2018,0.0,0.844,0.156,-0.5574,Fri Apr 06 08:15:00 +0000 2018,0.265,0.735,0.0,-0.5994,Thu Apr 05 16:11:00 +0000 2018,0.122,0.878,0.0,-158
157,0.4404,Fri Mar 30 17:29:06 +0000 2018,0.0,0.917,0.083,0.5994,Wed Jan 31 00:37:20 +0000 2018,0.0,0.843,0.157,0.0,Fri Apr 06 02:31:07 +0000 2018,0.0,1.0,0.0,-0.34,Fri Apr 06 08:30:00 +0000 2018,0.175,0.825,0.0,-0.128,Thu Apr 05 16:14:01 +0000 2018,0.069,0.874,0.057,-157
156,-0.5983,Fri Mar 30 18:01:02 +0000 2018,0.196,0.804,0.0,0.954,Wed Jan 31 00:55:04 +0000 2018,0.0,0.676,0.324,-0.1796,Fri Apr 06 02:36:05 +0000 2018,0.104,0.812,0.084,-0.1779,Fri Apr 06 09:00:00 +0000 2018,0.091,0.909,0.0,0.1779,Thu Apr 05 16:18:00 +0000 2018,0.056,0.867,0.077,-156
155,0.6369,Fri Mar 30 18:41:56 +0000 2018,0.0,0.781,0.219,0.908,Wed Jan 31 01:00:35 +0000 2018,0.0,0.678,0.322,0.4019,Fri Apr 06 02:41:47 +0000 2018,0.0,0.906,0.094,0.2263,Fri Apr 06 09:15:00 +0000 2018,0.0,0.959,0.041,0.0,Thu Apr 05 16:23:07 +0000 2018,0.0,1.0,0.0,-155
154,-0.3182,Fri Mar 30 19:00:32 +0000 2018,0.277,0.723,0.0,0.8516,Wed Jan 31 01:04:34 +0000 2018,0.0,0.42,0.58,-0.6705,Fri Apr 06 02:44:30 +0000 2018,0.148,0.852,0.0,-0.802,Fri Apr 06 09:30:00 +0000 2018,0.205,0.795,0.0,0.3071,Thu Apr 05 16:30:16 +0000 2018,0.0,0.866,0.134,-154
