,BBC_compound,BBC_dtime,BBC_neg,BBC_neu,BBC_pos,CBS_compound,CBS_dtime,CBS_neg,CBS_neu,CBS_pos,CNN_compound,CNN_dtime,CNN_neg,CNN_neu,CNN_pos,Fox_compound,Fox_dtime,Fox_neg,Fox_neu,Fox_pos,NYTimes_compound,NYTimes_dtime,NYTimes_neg,NYTimes_neu,NYTimes_pos,tago
141,-0.3612,Sat Mar 31 15:42:08 +0000 2018,0.143,0.857,0.0,0.2023,Wed Jan 31 16:37:17 +0000 2018,0.159,0.686,0.154,0.34,Fri Apr 06 05:31:07 +0000 2018,0.0,0.888,0.112,-0.802,Fri Apr 06 11:06:53 +0000 2018,0.224,0.776,0.0,0.0,Thu Apr 05 19:30:09 +0000 2018,0.0,1.0,0.0,-141
140,0.765,Sat Mar 31 15:42:42 +0000 2018,0.0,0.663,0.337,0.1007,Wed Jan 31 17:05:47 +0000 2018,0.115,0.75,0.135,0.0,Fri Apr 06 05:46:03 +0000 2018,0.0,1.0,0.0,-0.8807,Fri Apr 06 11:28:00 +0000 2018,0.435,0.476,0.088,0.2263,Thu Apr 05 19:37:54 +0000 2018,0.0,0.905,0.095,-140
139,0.0,Sat Mar 31 15:43:37 +0000 2018,0.0,1.0,0.0,0.1139,Wed Jan 31 21:42:15 +0000 2018,0.0,0.947,0.053,0.0,Fri Apr 06 05:56:04 +0000 2018,0.0,1.0,0.0,0.296,Fri Apr 06 11:28:29 +0000 2018,0.0,0.82,0.18,0.0,Thu Apr 05 19:45:04 +0000 2018,0.0,1.0,0.0,-139
138,0.0,Sat Mar 31 16:15:07 +0000 2018,0.0,1.0,0.0,0.0,Thu Feb 01 20:09:49 +0000 2018,0.0,1.0,0.0,0.5574,Fri Apr 06 06:02:24 +0000 2018,0.082,0.744,0.174,-0.6597,Fri Apr 06 11:41:54 +0000 2018,0.327,0.591,0.082,-0.5267,Thu Apr 05 20:01:05 +0000 2018,0.206,0.794,0.0,-138
137,0.0,Sat Mar 31 16:31:15 +0000 2018,0.0,1.0,0.0,0.0,Thu Feb 01 22:04:41 +0000 2018,0.0,1.0,0.0,-0.4019,Fri Apr 06 06:05:06 +0000 2018,0.178,0.73,0.092,0.0,Fri Apr 06 11:43:54 +0000 2018,0.0,1.0,0.0,-0.2732,Thu Apr 05 20:05:03 +0000 2018,0.084,0.916,0.0,-137
136,-0.2023,Sat Mar 31 17:09:06 +0000 2018,0.125,0.739,0.136,0.4199,Fri Feb 02 17:23:18 +0000 2018,0.071,0.801,0.128,0.0772,Fri Apr 06 06:16:04 +0000 2018,0.0,0.965,0.035,-0.2824,Fri Apr 06 11:48:40 +0000 2018,0.144,0.793,0.063,0.0,Thu Apr 05 20:15:09 +0000 2018,0.0,1.0,0.0,-136
135,0.5574,Sat Mar 31 18:02:02 +0000 2018,0.0,0.813,0.187,0.4003,Fri Feb 02 19:03:33 +0000 2018,0.0,0.876,0.124,-0.7717,Fri Apr 06 06:30:20 +0000 2018,0.22,0.732,0.049,0.8439,Fri Apr 06 11:51:25 +0000 2018,0.0,0.695,0.305,-0.5046,Thu Apr 05 20:16:03 +0000 2018,0.098,0.902,0.0,-135
134,0.5719,Sat Mar 31 18:37:18 +0000 2018,0.0,0.802,0.198,0.4574,Fri Feb 02 20:07:40 +0000 2018,0.0,0.897,0.103,-0.0772,Fri Apr 06 06:32:57 +0000 2018,0.067,0.877,0.056,0.0,Fri Apr 06 11:57:35 +0000 2018,0.0,1.0,0.0,0.636,Thu Apr 05 20:34:46 +0000 2018,0.0,0.846,0.154,-134
133,-0.1511,Sat Mar 31 20:42:07 +0000 2018,0.109,0.891,0.0,-0.0772,Fri Feb 02 22:36:13 +0000 2018,0.075,0.925,0.0,-0.6124,Fri Apr 06 06:40:57 +0000 2018,0.167,0.833,0.0,-0.4019,Fri Apr 06 12:09:30 +0000 2018,0.153,0.847,0.0,0.1531,Thu Apr 05 20:44:49 +0000 2018,0.057,0.857,0.086,-133
132,0.3947,Sat Mar 31 21:15:00 +0000 2018,0.0,0.887,0.113,0.8858,Sat Feb 03 12:00:07 +0000 2018,0.0,0.659,0.341,-0.6696,Fri Apr 06 06:41:55 +0000 2018,0.183,0.817,0.0,-0.296,Fri Apr 06 12:12:53 +0000 2018,0.099,0.901,0.0,0.0,Thu Apr 05 20:45:05 +0000 2018,0.0,1.0,0.0,-132
131,0.8126,Sun Apr 01 08:32:07 +0000 2018,0.0,0.288,0.712,0.3724,Sat Feb 03 23:11:43 +0000 2018,0.0,0.928,0.072,0.0,Fri Apr 06 06:43:20 +0000 2018,0.0,1.0,0.0,-0.4559,Fri Apr 06 12:24:13 +0000 2018,0.079,0.921,0.0,-0.4939,Thu Apr 05 21:00:12 +0000 2018,0.151,0.849,0.0,-131
130,0.6705,Sun Apr 01 09:24:05 +0000 2018,0.0,0.814,0.186,0.5267,Sun Feb 04 12:00:01 +0000 2018,0.0,0.845,0.155,-0.0618,Fri Apr 06 06:49:28 +0000 2018,0.083,0.843,0.074,0.8658,Fri Apr 06 12:26:45 +0000 2018,0.0,0.614,0.386,0.34,Thu Apr 05 21:04:22 +0000 2018,0.0,0.902,0.098,-130
129,0.6705,Sun Apr 01 10:03:08 +0000 2018,0.0,0.784,0.216,0.0,Sun Feb 04 15:35:36 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 06:59:03 +0000 2018,0.0,1.0,0.0,-0.7906,Fri Apr 06 12:28:33 +0000 2018,0.267,0.733,0.0,0.6808,Thu Apr 05 21:14:00 +0000 2018,0.0,0.761,0.239,-129
128,0.4404,Sun Apr 01 10:27:03 +0000 2018,0.0,0.828,0.172,0.0772,Tue Feb 06 17:05:49 +0000 2018,0.106,0.773,0.121,-0.7096,Fri Apr 06 07:06:22 +0000 2018,0.266,0.734,0.0,0.0,Fri Apr 06 12:29:41 +0000 2018,0.0,1.0,0.0,0.25,Thu Apr 05 21:22:06 +0000 2018,0.067,0.817,0.115,-128
127,0.1695,Sun Apr 01 10:37:30 +0000 2018,0.0,0.915,0.085,0.0,Tue Feb 06 22:21:39 +0000 2018,0.0,1.0,0.0,-0.5106,Fri Apr 06 07:27:37 +0000 2018,0.212,0.788,0.0,-0.3182,Fri Apr 06 12:31:03 +0000 2018,0.104,0.831,0.065,-0.4215,Thu Apr 05 21:24:04 +0000 2018,0.104,0.857,0.039,-127
126,0.8083,Sun Apr 01 11:04:05 +0000 2018,0.0,0.711,0.289,0.5983,Wed Feb 07 16:17:48 +0000 2018,0.111,0.652,0.238,0.4019,Fri Apr 06 07:38:44 +0000 2018,0.0,0.722,0.278,-0.2732,Fri Apr 06 12:32:12 +0000 2018,0.126,0.819,0.055,0.2023,Thu Apr 05 21:36:02 +0000 2018,0.0,0.917,0.083,-126
125,0.0,Sun Apr 01 11:18:20 +0000 2018,0.0,1.0,0.0,0.0516,Wed Feb 07 18:35:19 +0000 2018,0.0,0.934,0.066,-0.6705,Fri Apr 06 08:00:26 +0000 2018,0.143,0.857,0.0,-0.1779,Fri Apr 06 12:34:01 +0000 2018,0.032,0.968,0.0,0.0,Thu Apr 05 21:39:02 +0000 2018,0.0,1.0,0.0,-125
124,0.0,Sun Apr 01 11:19:57 +0000 2018,0.0,1.0,0.0,-0.5859,Thu Feb 08 16:09:35 +0000 2018,0.186,0.814,0.0,0.0,Fri Apr 06 08:31:50 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 12:35:05 +0000 2018,0.0,1.0,0.0,0.0,Thu Apr 05 21:49:13 +0000 2018,0.0,1.0,0.0,-124
123,0.0,Sun Apr 01 11:23:47 +0000 2018,0.0,1.0,0.0,0.8478,Fri Feb 09 00:50:01 +0000 2018,0.0,0.696,0.304,-0.7003,Fri Apr 06 09:02:51 +0000 2018,0.271,0.585,0.144,0.0516,Fri Apr 06 12:36:41 +0000 2018,0.141,0.705,0.154,0.7783,Thu Apr 05 22:00:16 +0000 2018,0.152,0.43,0.418,-123
122,0.0,Sun Apr 01 12:00:24 +0000 2018,0.0,1.0,0.0,0.0,Mon Feb 12 01:32:33 +0000 2018,0.0,1.0,0.0,-0.2023,Fri Apr 06 09:18:48 +0000 2018,0.058,0.903,0.039,0.0,Fri Apr 06 12:37:34 +0000 2018,0.0,1.0,0.0,0.6597,Thu Apr 05 22:17:06 +0000 2018,0.0,0.803,0.197,-122
121,0.0,Sun Apr 01 12:14:27 +0000 2018,0.0,1.0,0.0,0.0,Mon Feb 12 18:49:45 +0000 2018,0.0,1.0,0.0,-0.9274,Fri Apr 06 09:26:44 +0000 2018,0.388,0.612,0.0,0.0,Fri Apr 06 12:38:08 +0000 2018,0.0,1.0,0.0,0.1531,Thu Apr 05 22:32:05 +0000 2018,0.0,0.929,0.071,-121
120,0.7717,Sun Apr 01 12:19:34 +0000 2018,0.0,0.758,0.242,0.7506,Tue Feb 13 18:54:52 +0000 2018,0.0,0.748,0.252,0.4019,Fri Apr 06 09:37:07 +0000 2018,0.0,0.895,0.105,0.0,Fri Apr 06 12:45:10 +0000 2018,0.0,1.0,0.0,0.296,Thu Apr 05 22:38:19 +0000 2018,0.0,0.913,0.087,-120
119,0.0,Sun Apr 01 14:47:16 +0000 2018,0.0,1.0,0.0,0.0,Tue Feb 13 20:03:56 +0000 2018,0.0,1.0,0.0,0.5187,Fri Apr 06 09:45:41 +0000 2018,0.0,0.877,0.123,-0.7717,Fri Apr 06 12:48:04 +0000 2018,0.372,0.628,0.0,0.0,Thu Apr 05 22:47:02 +0000 2018,0.0,1.0,0.0,-119
118,0.0,Sun Apr 01 14:48:39 +0000 2018,0.0,1.0,0.0,0.8619,Wed Feb 14 19:23:27 +0000 2018,0.0,0.534,0.466,-0.8481,Fri Apr 06 09:55:06 +0000 2018,0.375,0.625,0.0,0.0,Fri Apr 06 12:49:47 +0000 2018,0.0,1.0,0.0,0.4754,Thu Apr 05 23:02:03 +0000 2018,0.0,0.853,0.147,-118
117,0.5719,Sun Apr 01 15:00:26 +0000 2018,0.0,0.734,0.266,0.784,Fri Feb 16 17:48:20 +0000 2018,0.0,0.774,0.226,-0.0772,Fri Apr 06 10:35:37 +0000 2018,0.067,0.877,0.056,-0.8402,Fri Apr 06 12:55:00 +0000 2018,0.163,0.837,0.0,0.0,Thu Apr 05 23:17:02 +0000 2018,0.0,1.0,0.0,-117
116,0.0,Sun Apr 01 16:03:03 +0000 2018,0.0,1.0,0.0,0.3182,Fri Feb 16 18:42:43 +0000 2018,0.0,0.892,0.108,0.0,Fri Apr 06 10:44:55 +0000 2018,0.0,1.0,0.0,-0.3818,Fri Apr 06 13:15:30 +0000 2018,0.271,0.729,0.0,-0.5994,Thu Apr 05 23:32:22 +0000 2018,0.145,0.855,0.0,-116
115,0.6369,Sun Apr 01 17:00:26 +0000 2018,0.0,0.704,0.296,0.6124,Sat Feb 17 01:07:20 +0000 2018,0.0,0.783,0.217,-0.872,Fri Apr 06 10:51:22 +0000 2018,0.276,0.724,0.0,-0.8834,Fri Apr 06 13:20:54 +0000 2018,0.507,0.493,0.0,0.3818,Thu Apr 05 23:47:05 +0000 2018,0.0,0.936,0.064,-115
114,0.6114,Sun Apr 01 17:42:22 +0000 2018,0.0,0.637,0.363,0.3612,Tue Feb 20 17:39:51 +0000 2018,0.0,0.878,0.122,0.4019,Fri Apr 06 11:00:08 +0000 2018,0.0,0.895,0.105,-0.2824,Fri Apr 06 13:25:00 +0000 2018,0.144,0.793,0.063,-0.296,Fri Apr 06 00:02:02 +0000 2018,0.095,0.905,0.0,-114
113,0.8832,Sun Apr 01 18:00:27 +0000 2018,0.0,0.724,0.276,-0.4019,Tue Feb 20 17:58:18 +0000 2018,0.119,0.881,0.0,-0.3182,Fri Apr 06 11:10:05 +0000 2018,0.113,0.887,0.0,-0.4019,Fri Apr 06 13:30:50 +0000 2018,0.213,0.787,0.0,0.1027,Fri Apr 06 00:17:04 +0000 2018,0.108,0.769,0.123,-113
112,-0.91,Sun Apr 01 19:00:28 +0000 2018,0.333,0.667,0.0,0.4404,Tue Feb 20 19:55:19 +0000 2018,0.0,0.884,0.116,-0.9136,Fri Apr 06 11:20:08 +0000 2018,0.476,0.524,0.0,0.0,Fri Apr 06 13:35:00 +0000 2018,0.0,1.0,0.0,0.4404,Fri Apr 06 00:32:04 +0000 2018,0.052,0.824,0.124,-112
111,0.0,Sun Apr 01 20:38:27 +0000 2018,0.0,1.0,0.0,0.6808,Wed Feb 21 18:19:25 +0000 2018,0.0,0.752,0.248,-0.3818,Fri Apr 06 11:30:08 +0000 2018,0.191,0.809,0.0,0.5267,Fri Apr 06 13:38:15 +0000 2018,0.0,0.825,0.175,0.0,Fri Apr 06 00:47:07 +0000 2018,0.0,1.0,0.0,-111
110,-0.2732,Mon Apr 02 07:26:06 +0000 2018,0.14,0.86,0.0,0.0,Wed Feb 21 19:20:04 +0000 2018,0.0,1.0,0.0,0.4019,Fri Apr 06 11:44:06 +0000 2018,0.0,0.722,0.278,0.2755,Fri Apr 06 13:41:44 +0000 2018,0.064,0.826,0.11,0.0,Fri Apr 06 01:02:04 +0000 2018,0.0,1.0,0.0,-110
109,0.0,Mon Apr 02 08:02:00 +0000 2018,0.0,1.0,0.0,0.0,Thu Feb 22 19:26:52 +0000 2018,0.0,1.0,0.0,-0.7003,Fri Apr 06 11:50:03 +0000 2018,0.264,0.596,0.14,0.0,Fri Apr 06 13:42:39 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 01:17:05 +0000 2018,0.0,1.0,0.0,-109
108,0.9508,Mon Apr 02 08:08:05 +0000 2018,0.0,0.615,0.385,0.5093,Fri Feb 23 18:15:40 +0000 2018,0.0,0.845,0.155,-0.5859,Fri Apr 06 12:00:05 +0000 2018,0.217,0.691,0.092,-0.6187,Fri Apr 06 13:43:45 +0000 2018,0.131,0.869,0.0,-0.4019,Fri Apr 06 01:32:02 +0000 2018,0.252,0.748,0.0,-108
107,0.0,Mon Apr 02 08:13:54 +0000 2018,0.0,1.0,0.0,0.0,Sun Feb 25 21:51:22 +0000 2018,0.0,1.0,0.0,0.4767,Fri Apr 06 12:17:13 +0000 2018,0.0,0.866,0.134,-0.6597,Fri Apr 06 13:45:01 +0000 2018,0.355,0.645,0.0,0.4939,Fri Apr 06 01:47:03 +0000 2018,0.0,0.833,0.167,-107
106,-0.2263,Mon Apr 02 08:14:09 +0000 2018,0.101,0.899,0.0,0.0,Sun Feb 25 21:51:32 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 12:18:03 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 13:45:31 +0000 2018,0.0,1.0,0.0,0.2263,Fri Apr 06 02:02:03 +0000 2018,0.0,0.94,0.06,-106
105,0.0,Mon Apr 02 08:14:23 +0000 2018,0.0,1.0,0.0,0.7644,Mon Feb 26 01:12:32 +0000 2018,0.0,0.769,0.231,0.0,Fri Apr 06 12:25:58 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 13:46:34 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 02:17:05 +0000 2018,0.0,1.0,0.0,-105
104,0.0,Mon Apr 02 08:16:56 +0000 2018,0.0,1.0,0.0,0.0,Mon Feb 26 16:17:55 +0000 2018,0.0,1.0,0.0,-0.5267,Fri Apr 06 12:40:51 +0000 2018,0.154,0.787,0.059,0.0,Fri Apr 06 13:54:00 +0000 2018,0.0,1.0,0.0,-0.3321,Fri Apr 06 02:31:06 +0000 2018,0.129,0.871,0.0,-104
103,0.0,Mon Apr 02 09:03:04 +0000 2018,0.0,1.0,0.0,0.0,Mon Feb 26 16:52:01 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 12:41:59 +0000 2018,0.0,1.0,0.0,0.7003,Fri Apr 06 14:01:41 +0000 2018,0.0,0.721,0.279,-0.4019,Fri Apr 06 02:45:08 +0000 2018,0.119,0.881,0.0,-103
102,0.0,Mon Apr 02 10:02:06 +0000 2018,0.0,1.0,0.0,-0.5423,Mon Feb 26 16:53:56 +0000 2018,0.184,0.816,0.0,0.119,Fri Apr 06 12:52:00 +0000 2018,0.071,0.825,0.104,0.0,Fri Apr 06 14:05:04 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 03:02:03 +0000 2018,0.0,1.0,0.0,-102
101,0.2235,Mon Apr 02 11:07:00 +0000 2018,0.0,0.894,0.106,0.9359,Mon Feb 26 18:20:16 +0000 2018,0.0,0.571,0.429,0.34,Fri Apr 06 13:02:31 +0000 2018,0.0,0.912,0.088,-0.3182,Fri Apr 06 14:09:14 +0000 2018,0.128,0.806,0.066,-0.296,Fri Apr 06 03:17:56 +0000 2018,0.167,0.833,0.0,-101
100,0.0,Mon Apr 02 11:58:06 +0000 2018,0.0,1.0,0.0,0.784,Mon Feb 26 18:32:36 +0000 2018,0.0,0.734,0.266,-0.5859,Fri Apr 06 13:10:06 +0000 2018,0.198,0.729,0.073,-0.8074,Fri Apr 06 14:24:05 +0000 2018,0.289,0.711,0.0,-0.0772,Fri Apr 06 03:32:02 +0000 2018,0.058,0.891,0.05,-100
99,0.4215,Mon Apr 02 13:32:07 +0000 2018,0.0,0.859,0.141,0.4482,Mon Feb 26 19:53:41 +0000 2018,0.0,0.895,0.105,-0.9274,Fri Apr 06 13:20:11 +0000 2018,0.435,0.565,0.0,-0.6908,Fri Apr 06 14:26:57 +0000 2018,0.275,0.725,0.0,-0.5267,Fri Apr 06 03:48:32 +0000 2018,0.196,0.804,0.0,-99
98,-0.5574,Mon Apr 02 14:14:17 +0000 2018,0.184,0.816,0.0,0.0,Mon Feb 26 21:08:30 +0000 2018,0.0,1.0,0.0,-0.6486,Fri Apr 06 13:30:08 +0000 2018,0.091,0.909,0.0,-0.5994,Fri Apr 06 14:33:52 +0000 2018,0.29,0.71,0.0,0.0,Fri Apr 06 03:57:14 +0000 2018,0.0,1.0,0.0,-98
97,0.0,Mon Apr 02 17:08:03 +0000 2018,0.0,1.0,0.0,0.0,Mon Feb 26 22:50:32 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 13:40:08 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 14:34:44 +0000 2018,0.0,1.0,0.0,0.34,Fri Apr 06 04:07:05 +0000 2018,0.0,0.926,0.074,-97
96,0.5423,Mon Apr 02 18:45:06 +0000 2018,0.0,0.837,0.163,0.5562,Tue Feb 27 03:23:47 +0000 2018,0.0,0.848,0.152,0.128,Fri Apr 06 13:50:10 +0000 2018,0.116,0.741,0.143,0.6486,Fri Apr 06 14:35:00 +0000 2018,0.0,0.739,0.261,0.4939,Fri Apr 06 04:20:06 +0000 2018,0.0,0.89,0.11,-96
95,0.1531,Mon Apr 02 19:02:04 +0000 2018,0.0,0.935,0.065,0.4404,Wed Feb 28 19:08:30 +0000 2018,0.0,0.884,0.116,-0.4019,Fri Apr 06 14:00:05 +0000 2018,0.109,0.891,0.0,-0.6908,Fri Apr 06 14:42:09 +0000 2018,0.322,0.678,0.0,0.7096,Fri Apr 06 04:32:08 +0000 2018,0.0,0.742,0.258,-95
94,0.0,Mon Apr 02 20:02:08 +0000 2018,0.0,1.0,0.0,0.0,Wed Feb 28 19:56:58 +0000 2018,0.0,1.0,0.0,-0.8481,Fri Apr 06 14:10:06 +0000 2018,0.375,0.625,0.0,0.5267,Fri Apr 06 14:48:00 +0000 2018,0.0,0.825,0.175,-0.7351,Fri Apr 06 04:47:06 +0000 2018,0.282,0.618,0.1,-94
93,0.0,Tue Apr 03 07:03:05 +0000 2018,0.0,1.0,0.0,0.0,Thu Mar 01 01:04:52 +0000 2018,0.0,1.0,0.0,0.34,Fri Apr 06 14:17:21 +0000 2018,0.0,0.918,0.082,-0.296,Fri Apr 06 14:48:49 +0000 2018,0.167,0.833,0.0,0.0,Fri Apr 06 04:54:25 +0000 2018,0.0,1.0,0.0,-93
92,0.7269,Tue Apr 03 07:16:07 +0000 2018,0.0,0.663,0.337,0.6369,Thu Mar 01 13:50:11 +0000 2018,0.0,0.87,0.13,-0.0258,Fri Apr 06 14:20:07 +0000 2018,0.159,0.688,0.153,0.0,Fri Apr 06 14:49:00 +0000 2018,0.0,1.0,0.0,-0.6705,Fri Apr 06 05:02:05 +0000 2018,0.244,0.756,0.0,-92
91,-0.1027,Tue Apr 03 08:03:04 +0000 2018,0.113,0.785,0.102,0.7177,Thu Mar 01 14:15:29 +0000 2018,0.0,0.8,0.2,-0.7717,Fri Apr 06 14:38:44 +0000 2018,0.22,0.732,0.049,-0.5267,Fri Apr 06 14:52:43 +0000 2018,0.152,0.848,0.0,0.0,Fri Apr 06 05:16:06 +0000 2018,0.0,1.0,0.0,-91
90,0.0,Tue Apr 03 09:29:03 +0000 2018,0.0,1.0,0.0,0.7717,Thu Mar 01 14:29:20 +0000 2018,0.0,0.675,0.325,0.4404,Fri Apr 06 14:40:00 +0000 2018,0.0,0.83,0.17,0.0,Fri Apr 06 15:00:04 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 05:47:03 +0000 2018,0.0,1.0,0.0,-90
89,0.4926,Tue Apr 03 10:31:13 +0000 2018,0.0,0.862,0.138,0.5994,Thu Mar 01 14:36:21 +0000 2018,0.0,0.822,0.178,0.4588,Fri Apr 06 14:50:07 +0000 2018,0.0,0.824,0.176,0.6597,Fri Apr 06 15:08:07 +0000 2018,0.0,0.779,0.221,0.1531,Fri Apr 06 06:05:09 +0000 2018,0.0,0.929,0.071,-89
88,0.3612,Tue Apr 03 10:46:40 +0000 2018,0.0,0.898,0.102,0.4885,Thu Mar 01 18:10:50 +0000 2018,0.151,0.615,0.234,0.0,Fri Apr 06 15:00:03 +0000 2018,0.0,1.0,0.0,-0.8519,Fri Apr 06 15:18:57 +0000 2018,0.43,0.57,0.0,0.7783,Fri Apr 06 06:22:05 +0000 2018,0.152,0.43,0.418,-88
87,0.0,Tue Apr 03 10:55:48 +0000 2018,0.0,1.0,0.0,0.8591,Thu Mar 01 18:11:50 +0000 2018,0.0,0.462,0.538,-0.6808,Fri Apr 06 15:10:06 +0000 2018,0.221,0.697,0.082,-0.5106,Fri Apr 06 15:33:37 +0000 2018,0.18,0.82,0.0,0.7615,Fri Apr 06 06:38:36 +0000 2018,0.0,0.762,0.238,-87
86,-0.4215,Tue Apr 03 11:01:05 +0000 2018,0.118,0.882,0.0,0.4547,Thu Mar 01 18:12:57 +0000 2018,0.092,0.749,0.159,0.0,Fri Apr 06 15:20:54 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 15:36:00 +0000 2018,0.0,1.0,0.0,0.4939,Fri Apr 06 06:56:31 +0000 2018,0.0,0.714,0.286,-86
85,0.3612,Tue Apr 03 11:22:03 +0000 2018,0.0,0.884,0.116,-0.6981,Thu Mar 01 18:59:01 +0000 2018,0.21,0.79,0.0,-0.34,Fri Apr 06 15:30:02 +0000 2018,0.057,0.943,0.0,-0.2584,Fri Apr 06 15:38:00 +0000 2018,0.184,0.816,0.0,0.3818,Fri Apr 06 07:02:03 +0000 2018,0.0,0.936,0.064,-85
84,0.0,Tue Apr 03 11:28:48 +0000 2018,0.0,1.0,0.0,0.4215,Fri Mar 02 18:45:00 +0000 2018,0.033,0.892,0.075,0.0,Fri Apr 06 15:40:06 +0000 2018,0.0,1.0,0.0,0.3182,Fri Apr 06 15:39:18 +0000 2018,0.0,0.883,0.117,-0.4939,Fri Apr 06 07:11:28 +0000 2018,0.211,0.789,0.0,-84
83,-0.1082,Tue Apr 03 11:37:31 +0000 2018,0.123,0.773,0.104,0.7096,Fri Mar 02 20:30:01 +0000 2018,0.0,0.803,0.197,-0.0772,Fri Apr 06 15:51:42 +0000 2018,0.067,0.877,0.056,0.0,Fri Apr 06 15:50:49 +0000 2018,0.0,1.0,0.0,-0.4939,Fri Apr 06 07:17:04 +0000 2018,0.132,0.868,0.0,-83
82,0.8126,Tue Apr 03 12:01:00 +0000 2018,0.0,0.714,0.286,0.91,Fri Mar 02 22:30:01 +0000 2018,0.0,0.658,0.342,-0.0258,Fri Apr 06 16:00:21 +0000 2018,0.097,0.811,0.093,0.5267,Fri Apr 06 15:51:00 +0000 2018,0.0,0.864,0.136,0.0,Fri Apr 06 07:32:05 +0000 2018,0.0,1.0,0.0,-82
81,0.0,Tue Apr 03 12:02:22 +0000 2018,0.0,1.0,0.0,0.0,Sat Mar 03 20:55:20 +0000 2018,0.0,1.0,0.0,-0.3818,Fri Apr 06 16:10:04 +0000 2018,0.191,0.809,0.0,0.6249,Fri Apr 06 15:59:15 +0000 2018,0.0,0.773,0.227,-0.3182,Fri Apr 06 07:47:05 +0000 2018,0.277,0.723,0.0,-81
80,0.0,Tue Apr 03 12:05:58 +0000 2018,0.0,1.0,0.0,0.4404,Sun Mar 04 08:05:26 +0000 2018,0.0,0.884,0.116,-0.0772,Fri Apr 06 16:20:08 +0000 2018,0.053,0.947,0.0,0.3182,Fri Apr 06 16:05:36 +0000 2018,0.0,0.933,0.067,-0.6808,Fri Apr 06 08:02:05 +0000 2018,0.248,0.752,0.0,-80
79,0.5093,Tue Apr 03 12:41:53 +0000 2018,0.0,0.83,0.17,0.4389,Mon Mar 05 22:16:43 +0000 2018,0.0,0.915,0.085,-0.9136,Fri Apr 06 16:32:27 +0000 2018,0.476,0.524,0.0,-0.2263,Fri Apr 06 16:14:50 +0000 2018,0.197,0.656,0.148,-0.5423,Fri Apr 06 08:15:05 +0000 2018,0.2,0.8,0.0,-79
78,0.0,Tue Apr 03 12:57:41 +0000 2018,0.0,1.0,0.0,0.6705,Tue Mar 06 18:10:59 +0000 2018,0.0,0.766,0.234,-0.6486,Fri Apr 06 16:40:13 +0000 2018,0.301,0.699,0.0,-0.4019,Fri Apr 06 16:27:58 +0000 2018,0.213,0.787,0.0,0.4215,Fri Apr 06 08:30:12 +0000 2018,0.0,0.887,0.113,-78
77,0.0,Tue Apr 03 13:15:07 +0000 2018,0.0,1.0,0.0,0.0,Wed Mar 07 17:06:02 +0000 2018,0.0,1.0,0.0,0.0,Fri Apr 06 16:50:05 +0000 2018,0.0,1.0,0.0,-0.6597,Fri Apr 06 16:36:28 +0000 2018,0.278,0.722,0.0,0.4767,Fri Apr 06 08:44:03 +0000 2018,0.0,0.846,0.154,-77
76,0.0,Tue Apr 03 14:27:34 +0000 2018,0.0,1.0,0.0,-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.23,0.619,0.15,-0.4588,Fri Apr 06 17:00:13 +0000 2018,0.2,0.8,0.0,-0.9117,Fri Apr 06 16:44:58 +0000 2018,0.34,0.56,0.1,-0.5267,Fri Apr 06 09:00:24 +0000 2018,0.196,0.804,0.0,-76
75,0.0,Tue Apr 03 14:47:02 +0000 2018,0.0,1.0,0.0,0.6688,Thu Mar 08 17:03:04 +0000 2018,0.0,0.889,0.111,-0.0772,Fri Apr 06 17:10:09 +0000 2018,0.073,0.863,0.065,0.4019,Fri Apr 06 16:54:18 +0000 2018,0.0,0.838,0.162,0.128,Fri Apr 06 09:14:03 +0000 2018,0.082,0.821,0.097,-75
74,0.0,Tue Apr 03 14:50:24 +0000 2018,0.0,1.0,0.0,0.91,Thu Mar 08 18:00:49 +0000 2018,0.0,0.675,0.325,0.4019,Fri Apr 06 17:30:15 +0000 2018,0.0,0.863,0.137,0.0,Fri Apr 06 17:00:01 +0000 2018,0.0,1.0,0.0,-0.836,Fri Apr 06 09:30:08 +0000 2018,0.368,0.632,0.0,-74
73,0.7351,Tue Apr 03 15:05:05 +0000 2018,0.0,0.788,0.212,0.0,Fri Mar 09 16:02:27 +0000 2018,0.0,1.0,0.0,0.4404,Fri Apr 06 17:40:22 +0000 2018,0.0,0.83,0.17,0.4019,Fri Apr 06 17:03:59 +0000 2018,0.0,0.803,0.197,-0.4767,Fri Apr 06 09:45:05 +0000 2018,0.12,0.88,0.0,-73
