,City,lat,lon,temp,humidity,clouds,wind,c_id
317,clarkville,-43.416667,172.616667,80.86999999999996,26,12,9.8,6220587
665,goudzheki,55.716667,109.05,30.574400000000047,92,92,1.96,2016910
130,estancia laram phujo,-17.6333333,-68.6166667,41.766799999999975,84,36,2.01,3917004
716,sortjarn,63.25,18.5,14.269999999999957,85,0,2.1,2722320
412,gitaislam,0.4,127.633333,80.16439999999997,92,100,3.21,1624041
560,el bahabicha,34.654008,-6.001478,56.67440000000005,76,92,3.91,2532394
173,mandamby,-24.05,44.1,72.05179999999996,60,0,3.86,1066310
247,bragado,-35.119121,-60.489658,71.24179999999998,56,8,2.41,3863882
280,otway shire,-38.666667,143.5,61.52180000000002,72,0,1.31,2142771
716,sortjarn,63.25,18.5,14.269999999999957,85,0,2.1,2722320
456,tirpo,10.35,-2.9833333,74.9444,82,56,2.86,2577162
178,batallon ingeniero numero cinco p.j. caballero,-24.65,-58.716667,72.36679999999998,93,44,1.26,3427949
248,claypans,-34.816667,139.666667,61.971800000000016,83,12,1.91,2074308
301,springston south,-43.683333,172.433333,80.86999999999996,26,0,9.8,2182431
698,sotovo,59.719117,31.879621,9.694400000000005,70,0,1.11,866055
31,pangala,-2.9057,119.8103,68.72180000000003,98,88,1.26,1969003
414,hacienda santiago del rey,0.3833333,-78.1833333,51.00439999999999,100,80,0.61,3660478
733,ristimella,67.416667,23.75,23.26999999999996,73,0,4.6,651889
538,jiahui,24.983333,110.883333,69.18440000000004,86,0,1.41,6422874
131,colofite,-17.1619444,34.2408333,75.42679999999996,85,56,3.71,1039000
257,roger corner,-34.916667,137.55,65.79680000000002,89,0,3.21,2057273
210,sao lourenco das missoes,-28.466667,-54.716667,70.47679999999997,93,36,1.86,3468232
322,ngaro,-45.9,167.983333,55.17679999999996,82,68,7.96,7910061
526,purwa lalchand,26.5264,79.7811,75.39440000000002,48,0,3.41,1268962
593,miller grove,40.0066667,-84.4641667,41.54000000000002,88,40,1.31,4505390
127,pungo,-17.3186111,34.9358333,75.92180000000002,87,0,3.01,1039000
361,salvador,-51.4666667,-58.3666667,41.26999999999996,86,20,6.2,3426768
780,nunatame,80.0,-66.0,-2.2756000000000043,87,48,3.66,0
677,kolychevo,55.7753,41.2877,19.324400000000047,91,80,4.76,556462
490,ban hwei sai,20.261248,100.404613,71.86999999999996,100,90,4.1,1611197
593,miller grove,40.0066667,-84.4641667,41.54000000000002,88,40,1.31,4505390
693,waldoma,59.908521,31.875096,9.694400000000005,70,0,1.11,569937
354,aguada grande,-47.389004,-67.590368,56.75179999999996,29,0,7.71,3841309
506,el capote,23.233333,-98.666667,75.46999999999997,25,75,1.71,3483063
430,kampong nichang,6.183333,102.133333,76.19000000000003,94,75,1.5,1736356
527,khawindino ware,27.589369,68.571152,70.06999999999996,64,0,3.1,1161991
569,shallal al `abd al `aziz,34.8052778,44.285,51.54440000000001,77,0,1.21,6752102
439,bagbo,4.45,18.95,73.66999999999996,94,0,2.01,2317301
575,dulab,35.666667,51.45,60.116000000000014,38,0,9.3,134460
389,puerto nuevo,-53.35,-69.433333,45.951799999999956,99,56,14.26,3875367
587,rengidar,40.934596,48.718326,32.104399999999984,92,92,1.26,587272
251,storms river,-33.973789,23.886632,62.781800000000004,100,20,0.76,964712
492,lititz,17.9166667,-77.6,72.51439999999997,76,32,1.21,3491161
426,zoe,7.0122222,-10.7675,75.30439999999999,92,48,1.11,2273435
144,baillache,-20.1452778,57.5641667,80.86999999999996,88,40,2.6,934333
160,mikaika,-24.15,45.9833333,59.721800000000016,100,0,1.91,1081790
629,buschelhof,49.3,9.583333,43.37599999999999,100,90,4.1,6555543
245,wardry,-33.083333,146.783333,75.96679999999998,45,0,2.11,2167174
217,camperdown,-29.728678,30.542558,66.65179999999995,99,100,1.16,1013886
39,baixinha ii,-3.286389,-43.188333,73.71679999999998,98,64,1.31,3385726
51,campo alegre,-7.816667,-38.933333,74.0318,77,64,1.46,3388440
666,podgorni,57.448262,28.009007,28.66999999999996,92,76,3.0,513051
26,lonkala,-4.6166667,23.2333333,73.1318,94,56,0.76,210379
161,machunguel,-22.6388889,35.2744444,73.22180000000003,94,64,1.41,1100188
693,waldoma,59.908521,31.875096,9.694400000000005,70,0,1.11,569937
579,catoosa canyon,36.0486111,-84.9666667,43.88000000000004,87,1,2.6,4621447
101,vaitele plantation,-13.8166667,-171.7833333,84.56180000000003,100,64,4.91,4034903
457,niegueya,9.86,-13.2875,71.16439999999997,92,0,1.26,2595299
692,zenino,59.466667,31.516667,11.044400000000007,73,0,2.36,532637
55,mantjagahar,-7.644,107.7117,81.09680000000003,100,24,6.16,7847483
341,oban,-46.9,168.133333,55.1318,95,88,9.16,2206939
378,mariquita,-51.9,-59.4,41.26999999999996,86,20,6.2,3474414
280,otway shire,-38.666667,143.5,61.52180000000002,72,0,1.31,2142771
571,douar soukhlidja,36.5558333,1.8555556,50.26999999999996,87,40,4.1,2487709
483,zicatachico de morelos,19.316667,-100.391667,54.78440000000003,71,0,0.51,4004885
148,soavina antanety,-19.8,46.7333333,43.971800000000016,82,8,1.51,1066514
578,yuz bashi,35.9247,48.2682,32.73440000000003,87,0,2.01,140521
409,bartakoe,1.833333,127.85,83.58440000000003,88,44,4.36,1634061
283,binginwarri,-38.583333,146.45,63.366799999999984,69,0,1.26,2175742
502,raghunathbari,23.8666667,89.9666667,66.46999999999997,88,90,7.7,1348441
348,juan jose albornoz,-48.433333,-68.966667,51.0818,32,0,8.96,3836350
477,quartier morne pavillon,14.6166667,-60.95,78.20600000000003,78,20,3.1,3570429
215,oontoo,-27.65,141.016667,82.04179999999998,32,0,5.66,2162701
314,golondrinas,-42.029195,-71.520952,45.2318,69,76,0.71,3854956
658,hogebrug,52.026371,4.806675,40.658,86,80,2.6,2754978
355,puerto deseadas,-47.750336,-65.893817,58.91180000000004,39,0,6.86,3840104
532,goth ali muhammad amro,24.815766,68.411397,78.00439999999999,65,0,6.16,1182159
429,ede station,7.75,4.433333,70.89440000000002,90,8,1.81,2337659
429,ede station,7.75,4.433333,70.89440000000002,90,8,1.81,2337659
161,machunguel,-22.6388889,35.2744444,73.22180000000003,94,64,1.41,1100188
629,buschelhof,49.3,9.583333,43.37599999999999,100,90,4.1,6555543
292,wangamoa,-41.166667,173.533333,66.74179999999998,67,68,2.71,7910055
42,peripery,-8.083333,-35.366667,77.26999999999995,88,75,2.1,3391556
