,BBC_compound,BBC_dtime,BBC_neg,BBC_neu,BBC_pos,CBS_compound,CBS_dtime,CBS_neg,CBS_neu,CBS_pos,CNN_compound,CNN_dtime,CNN_neg,CNN_neu,CNN_pos,Fox_compound,Fox_dtime,Fox_neg,Fox_neu,Fox_pos,NYTimes_compound,NYTimes_dtime,NYTimes_neg,NYTimes_neu,NYTimes_pos
15,0.6515,Sat Apr 07 16:00:23 +0000 2018,0.0,0.581,0.419,-0.3182,Wed Apr 04 21:44:17 +0000 2018,0.095,0.905,0.0,-0.7096,Sun Apr 08 10:30:08 +0000 2018,0.237,0.648,0.115,0.7096,Sun Apr 08 14:22:02 +0000 2018,0.0,0.874,0.126,-0.9136,Sun Apr 08 10:52:19 +0000 2018,0.463,0.489,0.049
16,0.6908,Sat Apr 07 15:01:03 +0000 2018,0.0,0.769,0.231,-0.25,Wed Apr 04 18:02:13 +0000 2018,0.133,0.867,0.0,0.6486,Sun Apr 08 10:00:17 +0000 2018,0.0,0.798,0.202,-0.296,Sun Apr 08 14:18:50 +0000 2018,0.091,0.909,0.0,0.0,Sun Apr 08 10:30:07 +0000 2018,0.0,1.0,0.0
17,0.0,Sat Apr 07 14:33:46 +0000 2018,0.0,1.0,0.0,0.6239,Tue Apr 03 23:00:00 +0000 2018,0.0,0.911,0.089,0.128,Sun Apr 08 09:30:22 +0000 2018,0.082,0.818,0.1,-0.9022,Sun Apr 08 14:07:41 +0000 2018,0.381,0.619,0.0,0.0,Sun Apr 08 10:15:39 +0000 2018,0.0,1.0,0.0
18,0.0,Sat Apr 07 14:00:31 +0000 2018,0.0,1.0,0.0,0.0,Tue Apr 03 21:00:02 +0000 2018,0.0,1.0,0.0,-0.4019,Sun Apr 08 09:00:19 +0000 2018,0.109,0.891,0.0,0.0,Sun Apr 08 14:03:05 +0000 2018,0.0,1.0,0.0,0.1901,Sun Apr 08 10:00:17 +0000 2018,0.0,0.951,0.049
19,-0.5719,Sat Apr 07 13:00:20 +0000 2018,0.222,0.778,0.0,0.7096,Tue Apr 03 18:00:00 +0000 2018,0.0,0.877,0.123,0.4404,Sun Apr 08 08:30:26 +0000 2018,0.0,0.83,0.17,0.4767,Sun Apr 08 13:58:00 +0000 2018,0.068,0.769,0.163,0.0,Sun Apr 08 09:35:05 +0000 2018,0.0,1.0,0.0
20,0.0018,Sat Apr 07 12:07:08 +0000 2018,0.129,0.703,0.168,0.807,Tue Apr 03 05:17:01 +0000 2018,0.0,0.659,0.341,-0.9136,Sun Apr 08 08:00:06 +0000 2018,0.458,0.542,0.0,0.4019,Sun Apr 08 13:50:32 +0000 2018,0.0,0.769,0.231,0.2732,Sun Apr 08 09:17:06 +0000 2018,0.0,0.826,0.174
21,0.0,Sat Apr 07 11:19:19 +0000 2018,0.0,1.0,0.0,0.1513,Mon Apr 02 17:30:00 +0000 2018,0.051,0.884,0.065,-0.3182,Sun Apr 08 07:30:09 +0000 2018,0.082,0.872,0.046,0.0,Sun Apr 08 13:48:12 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 09:00:31 +0000 2018,0.0,1.0,0.0
22,0.0,Sat Apr 07 11:00:57 +0000 2018,0.0,1.0,0.0,0.7783,Sun Apr 01 17:00:03 +0000 2018,0.0,0.788,0.212,0.0,Sun Apr 08 07:01:24 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 13:46:09 +0000 2018,0.0,1.0,0.0,0.0258,Sun Apr 08 08:42:26 +0000 2018,0.184,0.628,0.188
23,0.69,Sat Apr 07 11:00:18 +0000 2018,0.0,0.749,0.251,0.7351,Sat Mar 31 18:00:00 +0000 2018,0.0,0.854,0.146,-0.1531,Sun Apr 08 06:30:03 +0000 2018,0.132,0.769,0.099,0.0,Sun Apr 08 13:45:22 +0000 2018,0.0,1.0,0.0,-0.4291,Sun Apr 08 08:24:53 +0000 2018,0.079,0.921,0.0
24,0.0,Sat Apr 07 10:26:52 +0000 2018,0.0,1.0,0.0,0.4199,Sat Mar 31 15:30:00 +0000 2018,0.0,0.938,0.062,0.0,Sun Apr 08 06:00:00 +0000 2018,0.0,1.0,0.0,0.0,Sun Apr 08 13:42:52 +0000 2018,0.0,1.0,0.0,-0.296,Sun Apr 08 08:07:22 +0000 2018,0.073,0.927,0.0
25,-0.6966,Sat Apr 07 10:05:06 +0000 2018,0.15,0.85,0.0,0.6688,Fri Mar 30 16:50:00 +0000 2018,0.0,0.891,0.109,0.128,Sun Apr 08 05:30:04 +0000 2018,0.116,0.741,0.143,-0.3199,Sun Apr 08 13:42:04 +0000 2018,0.092,0.853,0.055,-0.3182,Sun Apr 08 07:49:54 +0000 2018,0.161,0.839,0.0
26,-0.8658,Sat Apr 07 09:00:12 +0000 2018,0.338,0.662,0.0,0.0,Thu Mar 29 17:32:40 +0000 2018,0.0,1.0,0.0,0.4019,Sun Apr 08 05:00:11 +0000 2018,0.0,0.87,0.13,-0.6486,Sun Apr 08 13:41:18 +0000 2018,0.29,0.71,0.0,0.3612,Sun Apr 08 07:37:48 +0000 2018,0.0,0.815,0.185
